model_specs,is_predict,amex_metric,AUC,test_start_time,test_end_time,test_duration,lr,sampling,data_type,seed,batch_size,es_patience,log_time
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_1e-06,True,,,2026-01-18 03:35:42,2026-01-18 03:43:50,0 days 00:08:08.467684,0.0001,1pct,original,42,128,3,2026-01-18 03:43:50
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_5e-05_0.01,True,,,2026-01-18 03:35:56,2026-01-18 03:44:05,0 days 00:08:08.924679,0.0001,1pct,original,42,128,3,2026-01-18 03:44:05
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,True,,,2026-01-18 03:37:33,2026-01-18 03:45:57,0 days 00:08:23.856570,0.0001,1pct,original,42,128,3,2026-01-18 03:45:57
original_1pct_0.0001_42_128_3_512_1_0.2_1e-06_1.0_0.5_0.01,True,,,2026-01-18 03:37:33,2026-01-18 03:45:58,0 days 00:08:25.529157,0.0001,1pct,original,42,128,3,2026-01-18 03:45:58
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,True,,,2026-01-18 03:39:33,2026-01-18 03:50:44,0 days 00:11:11.271655,0.0001,1pct,original,42,128,3,2026-01-18 03:50:44
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,True,,,2026-01-18 04:41:34,2026-01-18 04:46:45,0 days 00:05:11.209302,0.0001,10pct,original,42,128,3,2026-01-18 04:46:45
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_5e-05_0.01,True,,,2026-01-18 04:50:46,2026-01-18 04:58:58,0 days 00:08:12.047203,0.0001,10pct,original,42,128,3,2026-01-18 04:58:58
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_1e-06,True,,,2026-01-18 04:56:05,2026-01-18 05:04:12,0 days 00:08:07.211013,0.0001,10pct,original,42,128,3,2026-01-18 05:04:12
original_10pct_0.0001_42_128_3_512_1_0.2_1e-06_1.0_0.5_0.01,True,,,2026-01-18 05:02:23,2026-01-18 05:10:51,0 days 00:08:28.200680,0.0001,10pct,original,42,128,3,2026-01-18 05:10:51
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,True,,,2026-01-18 05:02:26,2026-01-18 05:11:00,0 days 00:08:33.374612,0.0001,10pct,original,42,128,3,2026-01-18 05:11:00
original_10pct_0.001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,2026-01-18 05:49:25,0.01,0.0001,0.5,0.01,0.001,10pct,original,42,128,3,True,,,2026-01-18 05:44:15,2026-01-18 05:49:25,0 days 00:05:09.360638
original_10pct_0.001_42_128_3_512_1_0.2_0.01_1.0_0.5_1e-06,2026-01-18 06:03:39,0.01,1.0,0.5,1e-06,0.001,10pct,original,42,128,3,True,,,2026-01-18 05:58:28,2026-01-18 06:03:39,0 days 00:05:10.928947
original_10pct_0.001_42_128_3_512_1_0.2_0.01_1.0_5e-05_0.01,2026-01-18 06:12:55,0.01,1.0,5e-05,0.01,0.001,10pct,original,42,128,3,True,,,2026-01-18 06:04:42,2026-01-18 06:12:55,0 days 00:08:13.029576
original_10pct_0.001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,2026-01-18 06:14:21,0.01,1.0,0.5,0.01,0.001,10pct,original,42,128,3,True,,,2026-01-18 06:05:57,2026-01-18 06:14:21,0 days 00:08:24.219113
original_10pct_0.001_42_128_3_512_1_0.2_1e-06_1.0_0.5_0.01,2026-01-18 06:27:58,1e-06,1.0,0.5,0.01,0.001,10pct,original,42,128,3,True,,,2026-01-18 06:19:38,2026-01-18 06:27:58,0 days 00:08:19.957161
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,2026-01-18 06:34:44,0.01,0.0001,0.5,0.01,0.0001,10pct,original,42,128,3,True,,,2026-01-18 06:29:32,2026-01-18 06:34:44,0 days 00:05:11.535622
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_1e-06,2026-01-18 06:43:12,0.01,1.0,0.5,1e-06,0.0001,10pct,original,42,128,3,True,,,2026-01-18 06:38:04,2026-01-18 06:43:12,0 days 00:05:08.226630
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_5e-05_0.01,2026-01-18 07:07:10,0.01,1.0,5e-05,0.01,0.0001,10pct,original,42,128,3,True,,,2026-01-18 06:59:00,2026-01-18 07:07:10,0 days 00:08:09.632482
original_10pct_1e-05_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,2026-01-18 07:20:57,0.01,0.0001,0.5,0.01,1e-05,10pct,original,42,128,3,True,,,2026-01-18 07:15:46,2026-01-18 07:20:57,0 days 00:05:10.440185
original_10pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,2026-01-18 07:22:14,0.01,1.0,0.5,0.01,0.0001,10pct,original,42,128,3,True,,,2026-01-18 07:13:49,2026-01-18 07:22:14,0 days 00:08:25.453308
